order_item_id,order_id,product_id,quantity
558,282,13,4
559,283,6,1
560,283,4,4
561,284,16,1
562,284,4,2
563,284,17,3
564,285,18,3
565,286,15,3
566,287,13,1
567,288,6,4
568,289,15,2
569,289,15,2
570,289,11,3
571,290,16,1
572,291,20,1
573,292,18,3
574,292,13,3
575,293,13,2
576,294,13,3
577,295,19,2
578,296,14,2
579,296,19,1
580,296,5,4
581,297,10,4
582,298,4,2
583,299,4,2
584,299,7,3
585,300,3,1
586,300,4,2
